station,window_months,window_start_month,window_end_month,rolling_mean_cfs,partial_months_in_window,unusable_months_in_window,historical_rank_lowest,historical_n,low_flow_percentile
Comal Springs,6,1956-11-01,1957-04-01,54.500076804915516,0,0,11,1130,0.9734513274336283
Comal Springs,6,1984-05-01,1984-10-01,64.59767025089606,0,0,12,1130,1.0619469026548671
Comal Springs,6,1955-06-01,1955-11-01,64.86953405017921,0,0,13,1130,1.1504424778761062
Comal Springs,6,1955-07-01,1955-12-01,65.30716845878136,0,0,14,1130,1.238938053097345
Comal Springs,6,1955-05-01,1955-10-01,68.38602150537635,0,0,15,1130,1.3274336283185841
Comal Springs,6,2025-10-01,2026-03-01,68.7868919610855,0,0,16,1130,1.415929203539823
Comal Springs,6,1955-12-01,1956-05-01,68.83992089976518,0,0,17,1130,1.5044247787610618
Comal Springs,6,1955-08-01,1956-01-01,69.65663082437275,0,0,18,1130,1.592920353982301
Comal Springs,6,2024-12-01,2025-05-01,70.15035842293906,0,0,19,1130,1.6814159292035398
Comal Springs,6,2025-11-01,2026-04-01,70.65911418330774,0,0,20,1130,1.7699115044247788
Comal Springs,6,2024-10-01,2025-03-01,70.72060931899641,0,0,21,1130,1.8584070796460177
Comal Springs,6,1984-04-01,1984-09-01,70.95483870967742,0,0,22,1130,1.9469026548672566
Comal Springs,6,2024-11-01,2025-04-01,71.24731182795699,0,0,23,1130,2.0353982300884956
Comal Springs,6,2024-09-01,2025-02-01,73.17150537634409,0,0,24,1130,2.1238938053097343
Comal Springs,6,1984-06-01,1984-11-01,73.38333333333334,0,0,25,1130,2.2123893805309733
Comal Springs,6,2025-09-01,2026-02-01,73.58653353814644,0,0,26,1130,2.3008849557522124
Comal Springs,6,2024-08-01,2025-01-01,75.1983870967742,0,0,27,1130,2.3893805309734515
Comal Springs,6,1955-04-01,1955-09-01,76.15645161290323,0,0,28,1130,2.47787610619469
Comal Springs,6,1955-11-01,1956-04-01,76.19977753058954,0,0,29,1130,2.566371681415929
Comal Springs,6,1955-09-01,1956-02-01,76.56393523668274,0,0,30,1130,2.6548672566371683
Comal Springs,6,2025-08-01,2026-01-01,76.72670250896057,0,0,31,1130,2.743362831858407
Comal Springs,6,1955-10-01,1956-03-01,79.06823631195155,0,0,32,1130,2.831858407079646
Comal Springs,6,2025-01-01,2025-06-01,79.30322580645162,0,0,33,1130,2.920353982300885
Comal Springs,6,2024-07-01,2024-12-01,79.92956989247311,0,0,34,1130,3.0088495575221237
Comal Springs,6,1956-12-01,1957-05-01,81.52427035330261,0,0,35,1130,3.0973451327433628
Comal Springs,6,2025-12-01,2026-05-01,84.47398873527905,0,0,36,1130,3.185840707964602
Comal Springs,6,2024-06-01,2024-11-01,85.14354838709677,0,0,37,1130,3.2743362831858405
Comal Springs,6,2025-07-01,2025-12-01,87.97939068100358,0,0,38,1130,3.3628318584070795
Comal Springs,6,1984-07-01,1984-12-01,88.21326164874552,0,0,39,1130,3.4513274336283186
Comal Springs,6,1955-03-01,1955-08-01,88.6231182795699,0,0,40,1130,3.5398230088495577
Comal Springs,6,2025-02-01,2025-07-01,90.8516129032258,0,0,41,1130,3.6283185840707963
Comal Springs,6,2025-03-01,2025-08-01,91.43225806451613,0,0,42,1130,3.7168141592920354
Comal Springs,6,2023-07-01,2023-12-01,93.98548387096774,0,0,43,1130,3.8053097345132745
