station,year,observed_days,first_observation,last_observation,inclusion_reason,forced_include,expected_days_full_year,is_current_year,expected_days_available,coverage_pct,literally_complete,year_used,year_status
San Marcos Springs,2017,365,2017-01-01,2017-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
San Marcos Springs,2018,365,2018-01-01,2018-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
San Marcos Springs,2019,365,2019-01-01,2019-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
San Marcos Springs,2020,366,2020-01-01,2020-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
San Marcos Springs,2021,365,2021-01-01,2021-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
San Marcos Springs,2022,365,2022-01-01,2022-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
San Marcos Springs,2023,364,2023-01-01,2023-12-31,NA,FALSE,365,FALSE,365,99.72602739726027,FALSE,TRUE,"PARTIAL, RETAINED"
San Marcos Springs,2024,366,2024-01-01,2024-12-31,NA,FALSE,366,FALSE,366,100,TRUE,TRUE,COMPLETE
San Marcos Springs,2025,365,2025-01-01,2025-12-31,NA,FALSE,365,FALSE,365,100,TRUE,TRUE,COMPLETE
San Marcos Springs,2026,212,2026-01-01,2026-07-31,NA,FALSE,365,TRUE,212,100,TRUE,TRUE,CURRENT YEAR - COMPLETE THROUGH DATA END
