station,year,month,observed_days,monthly_mean_cfs,expected_days,coverage_pct,complete_month,year_status,year_used,forced_include,month_status,month_usable_for_rolling
Comal Springs,1929,1929-11-01,30,292.6,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1929,1929-12-01,31,284.48387096774195,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1930,1930-01-01,31,276.96774193548384,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1930,1930-02-01,28,268.75,28,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1930,1930-03-01,31,256.5806451612903,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1930,1930-04-01,30,261.96666666666664,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1930,1930-05-01,29,294,31,93.54838709677419,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, USABLE",FALSE
Comal Springs,1930,1930-06-01,26,298,30,86.66666666666667,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, LOW COVERAGE",FALSE
Comal Springs,1930,1930-07-01,31,298.1290322580645,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1930,1930-08-01,31,268.741935483871,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1930,1930-09-01,30,264.4,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1930,1930-10-01,28,258.82142857142856,31,90.3225806451613,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, USABLE",FALSE
Comal Springs,1930,1930-11-01,30,259.53333333333336,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1930,1930-12-01,31,268.48387096774195,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1931,1931-01-01,31,280.38709677419354,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1931,1931-02-01,28,316.57142857142856,28,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1931,1931-03-01,31,337.2258064516129,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1931,1931-04-01,28,330.07142857142856,30,93.33333333333333,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, USABLE",FALSE
Comal Springs,1931,1931-05-01,26,342.34615384615387,31,83.87096774193549,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, LOW COVERAGE",FALSE
Comal Springs,1931,1931-06-01,30,345,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1931,1931-07-01,29,336.1034482758621,31,93.54838709677419,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, USABLE",FALSE
Comal Springs,1931,1931-08-01,31,321.03225806451616,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1931,1931-09-01,30,328.53333333333336,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1931,1931-10-01,31,314.19354838709677,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1931,1931-11-01,30,295.93333333333334,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
